id_pelicula,titulo,fecha,resumen,ranking,id_director
1,Sunt sit amet.,2013-05-29," Quia adipisci veritatis aut cupiditate dignissimos sint. Eos magni quia ipsum. Officia corporis vel placeat.
Ex ut vel est ab nemo vel quasi. Labore dicta suscipit occaecati praesentium dolorem. Culpa mollitia dolore esse perferendis qui. Ducimus eum voluptatibus deserunt necessitatibus. Ad soluta rem nulla.",2.3,8
2,Explicabo omnis.,2018-08-09, Temporibus fugit atque fugit. Cupiditate magni occaecati ad eveniet distinctio. Numquam veniam voluptas incidunt eum facilis. Ipsum officiis accusantium ea autem. Sit illo delectus eveniet voluptatem. Porro tempora laboriosam harum. Veniam nam quis dolorem repellendus nostrum totam.,3.1,6
3,Consequuntur repellat distinctio.,2014-11-15, Nesciunt soluta sit repellendus ea sit. Quod voluptate illum qui. Enim veritatis facilis quidem doloremque illum voluptas. Autem cupiditate nihil. Quam quidem velit at veritatis. Perspiciatis tenetur asperiores. Doloremque dolore non harum quaerat perferendis sed. Assumenda ducimus soluta eligendi soluta quo.,2.0,18
4,Vel nihil totam.,2022-02-04," Quasi similique rerum fugit. Neque exercitationem ducimus commodi.
Esse aut commodi sit. Dolore aut neque ut repellat quisquam corporis. Tempora repellendus temporibus distinctio nesciunt fugiat odit. Pariatur facilis cum odit beatae tenetur tempora sequi.",2.3,3
5,Ab magnam ipsum.,2009-03-24, Rem rem fuga inventore. Esse fuga maiores ducimus itaque. Vero numquam porro consequatur eius debitis sint. Veniam mollitia odio exercitationem. Doloremque dicta dolores placeat facere sapiente praesentium error. Ipsum blanditiis consequatur harum. Quidem ipsum ipsa veritatis laborum voluptatem exercitationem.,4.5,14
6,Iure doloremque nisi quod.,2012-08-03, Iusto quo consequatur repellendus. Vitae occaecati reprehenderit fuga perferendis cumque quo distinctio. Placeat architecto magnam eum. Itaque nesciunt quod dolorum commodi magni. Inventore magni omnis omnis quisquam aliquam. Ut tempore reiciendis excepturi et sapiente veritatis.,2.0,5
7,Occaecati eos.,2009-12-20, Autem totam exercitationem iusto officiis autem aut illum. Molestiae suscipit nostrum ratione iste quasi. Soluta cumque beatae ratione ratione. Sequi ipsum corporis occaecati. Numquam totam autem corporis ullam. Dolore aperiam totam iusto. Ipsa ad aperiam beatae quisquam. Facilis ipsa accusamus cum explicabo at.,3.0,12
8,Assumenda veniam neque.,2020-03-23," Occaecati incidunt perferendis odio minus. Recusandae magnam nulla quibusdam facere deleniti eaque. Odio quo facilis illum at in. Eligendi illum sit perspiciatis nam.
Impedit at delectus accusantium. Esse laudantium iusto rerum. Ipsam quos ratione molestias ipsam.",3.2,20
9,Cupiditate ipsum praesentium.,2022-03-25," Sint repellendus repudiandae aliquid libero. Quae dolor hic. Corrupti possimus quibusdam officia.
A sed dolore neque fugiat. Non eligendi nam consequuntur. Officia mollitia molestiae eligendi. Consequatur officia mollitia error repudiandae tempore. Asperiores maxime soluta commodi. Laborum excepturi delectus cupiditate.",3.2,11
10,Voluptates maiores velit.,2024-09-14," Delectus commodi quasi nihil ut ad. Suscipit similique enim. Nihil perferendis quod error. Illo eius omnis voluptates. Architecto ut incidunt magni.
Corporis nihil voluptate minima dolorum quae eveniet. Iure cumque voluptatibus fugit. Ab quo fugit totam quia id. Autem sequi cum odio impedit voluptatem omnis quaerat.",1.4,16
11,Deserunt numquam praesentium.,2022-11-07," Ut nemo vel. Molestias maiores architecto deserunt culpa doloribus magnam. Cupiditate magni a modi. Minima nihil debitis asperiores. Beatae nam porro rem.
Accusamus nulla reiciendis. Qui maiores quis quo. Sunt sit ipsam dolor ipsum tempora. Explicabo incidunt ut laboriosam dignissimos magnam exercitationem.",3.6,8
